review_id,k,scale,fragility_score,fragility_class,fragility_frac_sig,fragility_top_dim,bias_n_detect,bias_concordance,bias_class,bias_egger_p,bias_tf_k0,pred_pi_ci_ratio,pred_discordance,pred_I2,pred_tau2,orb_score,orb_class,orb_excess_sig,repro_class,repro_oa_coverage,repro_rate_strict,overlap_max_jaccard,overlap_max_shared,composite_score,d1_fragility_norm,d2_bias_norm,d3_prediction_norm,d4_orb_norm,d5_repro_norm,d6_overlap_norm,grade
CD004376,104,ratio,100.0,Robust,0.0,Estimator,1,100,Confirmed,0.3311,5,1.01,CONCORDANT_NS,0.0,0.0,10.0,Low_Risk,-0.9,no_extraction,0.05343511450381679,0.0,0.017,4,79.9,100.0,87.5,99.8,90.0,5.3,96.6,B
CD004406,6,ratio,85.71,Moderate,0.14285714285714285,Bias Correction,2,100,Confirmed,0.0686,1,1.42,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.39,no_extraction,0.0,0.0,0,0,75.4,85.7,75.0,91.6,100.0,0.0,100,B
CD004417,17,ratio,96.3,Robust,0.9629629629629629,Leave-One-Out,2,100,Suspected,0.0247,2,4.05,CONCORDANT_SIG,84.2,0.9622,30.0,Moderate_Risk,0.75,no_extraction,0.11764705882352941,0.0,0.0769,2,62.8,96.3,75.0,39.0,70.0,11.8,84.6,B
CD004508,6,ratio,51.7,Fragile,0.009070294784580499,Leave-One-Out,0,25,Discordant,0.4926,0,3.07,CONCORDANT_NS,66.6,0.1183,15.0,Low_Risk,0.73,no_extraction,0.0,0.0,0,0,65.9,51.7,100.0,58.6,85.0,0.0,100,B
CD004661,12,ratio,87.55,Moderate,0.0,Leave-One-Out,0,100,Clean,0.9411,0,1.14,CONCORDANT_NS,0.0,0.0,10.0,Low_Risk,-0.43,no_extraction,0.16216216216216217,0.0,0,0,81.8,87.5,100.0,97.2,90.0,16.2,100,A
CD004667,16,ratio,34.08,Unstable,0.3408029878618114,Bias Correction,0,100,Suspected,0.6267,0,2.37,FALSE_REASSURANCE,25.1,0.0071,25.0,Moderate_Risk,1.49,no_extraction,0.125,0.0,0,0,65.7,34.1,100.0,72.6,75.0,12.5,100,B
CD004703,4,ratio,86.67,Moderate,0.06666666666666667,Bias Correction,0,0,unknown,1.0,0,2.2,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.23,no_extraction,0.0,0.0,0.0385,1,75.8,86.7,100.0,76.0,100.0,0.0,92.3,B
CD004736,14,ratio,66.24,Fragile,0.6624338624338625,Bias Correction,2,100,Confirmed,0.0011,3,3.26,FALSE_REASSURANCE,82.3,0.3747,65.0,High_Risk,1.91,no_extraction,0.0,0.0,0.0156,1,54.7,66.2,75.0,54.8,35.0,0.0,96.9,C
CD004762,5,difference,26.98,Unstable,0.2698412698412698,Estimator,2,100,Confirmed,0.0038,1,3.17,FALSE_REASSURANCE,79.3,0.036,75.0,High_Risk,1.93,insufficient,0.7142857142857143,0.4,0,0,59.2,27.0,75.0,56.6,25.0,71.4,100,C
CD004871,5,ratio,26.46,Unstable,0.4312169312169312,CI Method,2,50,Confirmed,0.0001,0,3.34,FALSE_REASSURANCE,66.6,0.0768,15.0,Low_Risk,-0.96,no_extraction,0.3076923076923077,0.0,0.0044,1,61.6,26.5,75.0,53.2,85.0,30.8,99.1,B
CD004904,4,ratio,64.76,Fragile,0.06666666666666667,Leave-One-Out,0,0,unknown,1.0,0,2.2,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.1,no_extraction,0.0,0.0,0,0,73.5,64.8,100.0,76.0,100.0,0.0,100,B
CD004925,31,ratio,66.67,Fragile,0.6666666666666666,Bias Correction,1,100,Confirmed,0.033,6,1.04,CONCORDANT_SIG,0.0,0.0,0.0,Low_Risk,0.39,no_extraction,0.0,0.0,0,0,75.6,66.7,87.5,99.2,100.0,0.0,100,B
CD004953,11,ratio,18.25,Unstable,0.0,Leave-One-Out,0,25,Clean,0.4322,2,2.3,CONCORDANT_NS,32.7,0.0631,20.0,Low_Risk,-0.28,no_extraction,0.19047619047619047,0.0,0,0,65.2,18.2,100.0,74.0,80.0,19.0,100,B
CD004992,4,ratio,65.4,Fragile,0.653968253968254,Bias Correction,0,0,unknown,1.0,0,2.57,CONCORDANT_SIG,8.7,0.038,0.0,Low_Risk,0.94,no_extraction,0.0,0.0,0,0,72.3,65.4,100.0,68.6,100.0,0.0,100,B
CD005133,39,ratio,10.99,Unstable,0.10992063492063492,Bias Correction,0,100,Suspected,0.1071,4,1.94,FALSE_REASSURANCE,7.4,0.0067,20.0,Low_Risk,0.96,no_extraction,0.0,0.0,0,0,62.0,11.0,100.0,81.2,80.0,0.0,100,B
CD005187,5,ratio,66.67,Fragile,0.6666666666666666,Bias Correction,0,100,Suspected,0.637,1,2.23,CONCORDANT_SIG,17.5,0.0045,0.0,Low_Risk,0.73,no_extraction,0.2,0.0,0,0,77.0,66.7,100.0,75.4,100.0,20.0,100,B
CD005343,31,ratio,66.67,Fragile,0.6666666666666666,Bias Correction,1,100,Confirmed,0.0114,0,3.19,FALSE_REASSURANCE,57.0,0.1491,65.0,High_Risk,2.56,no_extraction,0.0,0.0,0,0,57.6,66.7,87.5,56.2,35.0,0.0,100,C
CD005495,9,ratio,64.29,Fragile,0.03333333333333333,Bias Correction,1,50,Confirmed,0.2816,2,1.21,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.35,no_extraction,0.14545454545454545,0.0,0,0,77.0,64.3,87.5,95.8,100.0,14.5,100,B
CD005566,28,ratio,90.42,Robust,0.9042145593869731,Leave-One-Out,0,100,Clean,0.5722,1,1.05,CONCORDANT_SIG,0.0,0.0,20.0,Low_Risk,-1.48,no_extraction,0.10714285714285714,0.0,0.0132,1,79.6,90.4,100.0,99.0,80.0,10.7,97.4,B
CD005582,4,ratio,100.0,Robust,0.0,Estimator,0,0,unknown,1.0,0,2.2,CONCORDANT_NS,0.0,0.0,0.0,Low_Risk,-0.24,no_extraction,0.0,0.0,0,0,79.3,100.0,100.0,76.0,100.0,0.0,100,B
CD005595,32,ratio,100.0,Robust,0.0,Estimator,0,100,Suspected,0.5945,0,1.04,CONCORDANT_NS,0.0,0.0,10.0,Low_Risk,-0.32,no_extraction,0.08163265306122448,0.0,0.0141,1,82.4,100.0,100.0,99.2,90.0,8.2,97.2,A
CD005951,7,ratio,79.96,Moderate,0.07539682539682539,Leave-One-Out,0,100,Suspected,0.4634,0,2.29,CONCORDANT_NS,34.4,0.0579,25.0,Moderate_Risk,1.05,no_extraction,0.0,0.0,0.0385,1,70.2,80.0,100.0,74.2,75.0,0.0,92.3,B
